Block,Lot,Ward,Sect,CityTax,StateTax,ResCode,AmountDue,PoliceDistrict,CouncilDistrict
1,29,15,370,$472.08,$23.52,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
1,30,15,370,,,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
1,31,15,370,$472.08,$23.52,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
1,32,15,370,$472.08,$23.52,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
17,6,15,140,$1011.60,$50.40,PRINCIPAL RESIDENCE      ,$494.69,WESTERN,7
1,033A,15,370,$472.08,$23.52,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
1,033B,15,370,$67.44,$3.36,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
17,10,15,140,$1011.60,$50.40,PRINCIPAL RESIDENCE      ,$494.69,WESTERN,7
1,033D,15,370,$67.44,$3.36,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
1,033E,15,370,$472.08,$23.52,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
1,033F,15,370,$472.08,$23.52,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
1,033G,15,370,$472.08,$23.52,PRINCIPAL RESIDENCE      ,,WESTERN,7
1,033H,15,370,$472.08,$23.52,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
1,033I,15,370,$472.08,$23.52,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
1,34,15,370,$674.40,$33.60,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
0023B,10,15,140,$1011.60,$50.40,PRINCIPAL RESIDENCE      ,$123.34,WESTERN,7
1,35,15,370,$472.08,$23.52,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
1,38,15,370,$472.08,$23.52,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
1,41,15,370,$472.08,$23.52,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
1,42,15,370,$472.08,$23.52,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
23,31,15,140,$1011.60,$50.40,PRINCIPAL RESIDENCE      ,$275.87,WESTERN,7
1,44,15,370,$472.08,$23.52,PRINCIPAL RESIDENCE      ,,WESTERN,7
1,45,15,370,$472.08,$23.52,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
23,39,15,140,$1011.60,$50.40,PRINCIPAL RESIDENCE      ,$275.87,WESTERN,7
5267F,47,27,440,$2623.42,$130.70,PRINCIPAL RESIDENCE      ,$1174.29,NORTHEASTERN,4
2,1,15,160,$472.08,$23.52,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
2,2,15,160,$472.08,$23.52,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
5559,157,27,40,$3003.33,$149.63,PRINCIPAL RESIDENCE      ,$1420.94,NORTHEASTERN,3
2,5,15,160,$472.08,$23.52,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
2,6,15,160,$472.08,$23.52,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
2,7,15,160,$472.08,$23.52,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
6019B,14,26,220,$3089.49,$153.92,PRINCIPAL RESIDENCE      ,$14.44,NORTHEASTERN,2
2,9,15,160,$472.08,$23.52,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
2349,51,16,250,$1910.80,$95.20,PRINCIPAL RESIDENCE      ,$1210.26,WESTERN,9
2,12,15,160,$472.08,$23.52,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
2,13,15,160,$67.44,$3.36,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
2,14,15,160,$67.44,$3.36,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
2,15,15,160,,,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
2,17,15,160,$67.44,$3.36,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
2,4,15,160,$899.20,$44.80,NOT A PRINCIPAL RESIDENCE,$939.50,WESTERN,7
2,19,15,160,$472.08,$23.52,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
2,21,15,160,$899.20,$44.80,NOT A PRINCIPAL RESIDENCE,$939.50,WESTERN,7
1184,44,10,20,$67.44,$3.36,NOT A PRINCIPAL RESIDENCE,$79.08,EASTERN,12
1184,47,10,20,$22.48,$1.12,NOT A PRINCIPAL RESIDENCE,$26.36,EASTERN,12
2,26,15,160,$899.20,$44.80,NOT A PRINCIPAL RESIDENCE,$939.50,WESTERN,7
1,47,15,370,$1452.21,$72.35,NOT A PRINCIPAL RESIDENCE,$1540.09,WESTERN,7
3208,40,15,160,$899.20,$44.80,PRINCIPAL RESIDENCE      ,$440.75,WESTERN,7
4421,44,27,230,$2942.63,$146.61,PRINCIPAL RESIDENCE      ,$1479.25,NORTHWESTERN,5
1369,43,3,10,,,NOT A PRINCIPAL RESIDENCE,,,
1557,20,8,220,$427.12,$21.28,NOT A PRINCIPAL RESIDENCE,$303.90,EASTERN,13
1369,44,3,10,,,NOT A PRINCIPAL RESIDENCE,,,
2,30,15,160,$67.44,$3.36,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
2,31,15,160,$472.08,$23.52,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
1369,45,3,10,,,NOT A PRINCIPAL RESIDENCE,,,
2,33,15,160,$472.08,$23.52,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
1369,46,3,10,,,NOT A PRINCIPAL RESIDENCE,,,
1936,67,24,70,,,NOT A PRINCIPAL RESIDENCE,,,
1369,47,3,10,,,NOT A PRINCIPAL RESIDENCE,,,
2,39,15,160,$472.08,$23.52,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
2,40,15,160,$472.08,$23.52,PRINCIPAL RESIDENCE      ,,WESTERN,7
2,42,15,160,$472.08,$23.52,PRINCIPAL RESIDENCE      ,,WESTERN,7
1936,065A,24,70,,,NOT A PRINCIPAL RESIDENCE,,,
1,2,15,370,$1112.76,$55.44,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
1,4,15,370,$674.40,$33.60,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
1,5,15,370,$472.08,$23.52,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
1,1,15,370,$2283.97,$113.79,NOT A PRINCIPAL RESIDENCE,$2386.34,WESTERN,7
2,34,15,160,$899.20,$44.80,NOT A PRINCIPAL RESIDENCE,$939.50,WESTERN,7
1369,48,3,10,,,NOT A PRINCIPAL RESIDENCE,,,
1369,49,3,10,,,NOT A PRINCIPAL RESIDENCE,,,
1369,50,3,10,,,NOT A PRINCIPAL RESIDENCE,,,
1369,51,3,10,,,NOT A PRINCIPAL RESIDENCE,,,
1369,52,3,10,,,NOT A PRINCIPAL RESIDENCE,,,
1369,53,3,10,,,NOT A PRINCIPAL RESIDENCE,,,
1369,54,3,10,,,NOT A PRINCIPAL RESIDENCE,,,
1369,55,3,10,,,NOT A PRINCIPAL RESIDENCE,,,
2,28,15,160,$899.20,$44.80,NOT A PRINCIPAL RESIDENCE,$944.00,WESTERN,7
1,6,15,370,$337.20,$16.80,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
1761,152,1,140,$5422.92,$270.18,PRINCIPAL RESIDENCE      ,$2688.13,SOUTHEASTERN,1
1,9,15,370,$472.08,$23.52,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
1,10,15,370,$472.08,$23.52,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
1,11,15,370,$472.08,$23.52,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
1,12,15,370,$472.08,$23.52,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
522,11,11,100,$13348.62,$665.06,NOT A PRINCIPAL RESIDENCE,$320.71,CENTRAL,11
1,14,15,370,$472.08,$23.52,PRINCIPAL RESIDENCE      ,,WESTERN,7
2,56,15,160,$899.20,$44.80,PRINCIPAL RESIDENCE      ,$876.58,WESTERN,7
1,16,15,370,,,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
1,19,15,370,$472.08,$23.52,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
1,20,15,370,$472.08,$23.52,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
1,21,15,370,$472.08,$23.52,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
1,22,15,370,$472.08,$23.52,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
2,48,15,160,$472.08,$23.52,PRINCIPAL RESIDENCE      ,,WESTERN,7
2,58,15,160,$899.20,$44.80,PRINCIPAL RESIDENCE      ,$736.63,WESTERN,7
1127,10,8,70,$674.40,$33.60,PRINCIPAL RESIDENCE      ,$304.98,EASTERN,12
2,51,15,160,$472.08,$23.52,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
2,52,15,160,$472.08,$23.52,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
2,53,15,160,$472.08,$23.52,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
2153,8,20,140,$502.05,$25.01,PRINCIPAL RESIDENCE      ,$198.76,WESTERN,9
2253,35,20,180,$1712.98,$85.34,NOT A PRINCIPAL RESIDENCE,$839.38,SOUTHWESTERN,8
2,57,15,160,$67.44,$3.36,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
2295,21,20,30,$933.66,$46.52,NOT A PRINCIPAL RESIDENCE,$4.72,SOUTHWESTERN,8
1189,22,10,120,$67.44,$3.36,NOT A PRINCIPAL RESIDENCE,$79.08,EASTERN,12
468,004B,11,10,$2472.80,$123.20,PRINCIPAL RESIDENCE      ,,,
2491,1,16,60,$2476.55,$123.39,PRINCIPAL RESIDENCE      ,$203.21,SOUTHWESTERN,8
44,29,16,10,$1065.55,$53.09,PRINCIPAL RESIDENCE      ,$1040.94,WESTERN,9
1189,23,10,120,$2248.00,$112.00,NOT A PRINCIPAL RESIDENCE,$2647.52,EASTERN,12
2,65,15,160,$472.08,$23.52,PRINCIPAL RESIDENCE      ,,WESTERN,7
2,66,15,160,$472.08,$23.52,PRINCIPAL RESIDENCE      ,,WESTERN,7
2,67,15,160,$472.08,$23.52,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
2,68,15,160,$67.44,$3.36,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
3061B,162,15,270,$2517.76,$125.44,PRINCIPAL RESIDENCE      ,$1793.62,NORTHWESTERN,7
2528H,24,16,60,$1854.60,$92.40,PRINCIPAL RESIDENCE      ,$148.93,SOUTHWESTERN,8
2,71,15,160,$472.08,$23.52,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
2,72,15,160,$472.08,$23.52,PRINCIPAL RESIDENCE      ,,WESTERN,7
1624,59,7,10,$562.00,$28.00,NOT A PRINCIPAL RESIDENCE,,EASTERN,13
2,74,15,160,$472.08,$23.52,PRINCIPAL RESIDENCE      ,,WESTERN,7
45,5,16,10,$1366.78,$68.10,PRINCIPAL RESIDENCE      ,$73.35,WESTERN,9
45,14,16,10,$1366.78,$68.10,PRINCIPAL RESIDENCE      ,$512.41,WESTERN,9
2,79,15,160,$67.44,$3.36,PRINCIPAL RESIDENCE      ,,WESTERN,7
3,1,15,150,$67.44,$3.36,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
3,3,15,150,$67.44,$3.36,PRINCIPAL RESIDENCE      ,,WESTERN,7
3,4,15,150,$67.44,$3.36,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
72,001B,16,40,$899.20,$44.80,NOT A PRINCIPAL RESIDENCE,,,
2,60,15,160,$899.20,$44.80,PRINCIPAL RESIDENCE      ,$736.63,WESTERN,7
44,23,16,10,$1366.78,$68.10,NOT A PRINCIPAL RESIDENCE,,WESTERN,9
1722,101,6,120,$1908.55,$95.09,PRINCIPAL RESIDENCE      ,$559.08,,
4123,52,9,160,$1126.25,$56.11,PRINCIPAL RESIDENCE      ,$1202.05,NORTHEASTERN,14
3,6,15,150,$337.20,$16.80,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
3,7,15,150,$337.20,$16.80,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
3,8,15,150,$337.20,$16.80,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
3033,15,15,40,$1908.55,$95.09,PRINCIPAL RESIDENCE      ,$861.38,SOUTHWESTERN,7
4471,14,27,220,$4499.75,$224.19,PRINCIPAL RESIDENCE      ,$24.61,NORTHERN,5
3608,47,12,50,$5294.04,$263.76,NOT A PRINCIPAL RESIDENCE,$2781.21,NORTHERN,12
3619,24,12,50,$1872.58,$93.30,PRINCIPAL RESIDENCE      ,$78.36,NORTHERN,12
2530C,445,25,10,$2234.51,$111.33,NOT A PRINCIPAL RESIDENCE,,SOUTHWESTERN,8
3,15,15,150,$337.20,$16.80,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
3,16,15,150,$337.20,$16.80,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
3,17,15,150,$337.20,$16.80,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
3,18,15,150,$337.20,$16.80,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
1473,31,8,210,$67.44,$3.36,NOT A PRINCIPAL RESIDENCE,$79.08,EASTERN,13
3,20,15,150,$67.44,$3.36,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
3,21,15,150,$337.20,$16.80,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
3,23,15,150,$337.20,$16.80,PRINCIPAL RESIDENCE      ,,WESTERN,7
3,24,15,150,$337.20,$16.80,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
3,25,15,150,$337.20,$16.80,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
3,26,15,150,$337.20,$16.80,PRINCIPAL RESIDENCE      ,,WESTERN,7
3,29,15,150,$337.20,$16.80,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
45,17,16,10,$1366.78,$68.10,PRINCIPAL RESIDENCE      ,$482.15,WESTERN,9
45,18,16,10,$1366.78,$68.10,PRINCIPAL RESIDENCE      ,$482.15,WESTERN,9
2402,43,15,60,$809.28,$40.32,PRINCIPAL RESIDENCE      ,$395.55,WESTERN,7
2402,52,15,60,$809.28,$40.32,PRINCIPAL RESIDENCE      ,$395.55,WESTERN,7
3846,22,12,170,$2432.34,$121.18,PRINCIPAL RESIDENCE      ,$620.73,NORTHERN,12
6277A,58,26,150,$2117.62,$105.50,NOT A PRINCIPAL RESIDENCE,,SOUTHEASTERN,1
3841,33,12,160,$4356.62,$217.06,PRINCIPAL RESIDENCE      ,$1733.01,NORTHERN,12
3,33,15,150,,,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
3,34,15,150,$337.20,$16.80,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
3,35,15,150,$337.20,$16.80,PRINCIPAL RESIDENCE      ,,WESTERN,7
3,36,15,150,,,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
3715,8,12,10,$16079.20,$801.10,PRINCIPAL RESIDENCE      ,$7807.42,NORTHERN,14
5267J,361,27,460,$2702.10,$134.62,PRINCIPAL RESIDENCE      ,$716.89,NORTHEASTERN,4
3,39,15,150,$337.20,$16.80,PRINCIPAL RESIDENCE      ,,WESTERN,7
5559,82,27,40,$2520.01,$125.55,PRINCIPAL RESIDENCE      ,$306.18,NORTHEASTERN,3
3,49,15,150,$337.20,$16.80,NOT A PRINCIPAL RESIDENCE,$398.55,WESTERN,7
3,43,15,150,$337.20,$16.80,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
3,44,15,150,$67.44,$3.36,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
3,45,15,150,,,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
3,47,15,150,,,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
3,48,15,150,$1011.60,$50.40,PRINCIPAL RESIDENCE      ,,WESTERN,7
3,51,15,150,$337.20,$16.80,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
3,52,15,150,$1011.60,$50.40,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
3,54,15,150,$1011.60,$50.40,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
3,55,15,150,$337.20,$16.80,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
3,56,15,150,$337.20,$16.80,PRINCIPAL RESIDENCE      ,,WESTERN,7
3,53,15,150,$1011.60,$50.40,NOT A PRINCIPAL RESIDENCE,$27.65,WESTERN,7
1452,32,8,200,$22.48,$1.12,NOT A PRINCIPAL RESIDENCE,$26.36,EASTERN,12
1477,59,8,70,$67.44,$3.36,NOT A PRINCIPAL RESIDENCE,$79.08,EASTERN,12
3857A,26,12,200,$5999.91,$298.93,PRINCIPAL RESIDENCE      ,$2023.69,NORTHERN,14
3,60,15,150,$337.20,$16.80,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
3,61,15,150,$337.20,$16.80,PRINCIPAL RESIDENCE      ,,WESTERN,7
1415,12,3,60,$4885.65,$243.41,PRINCIPAL RESIDENCE      ,,SOUTHEASTERN,1
3,63,15,150,$1011.60,$50.40,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
3,65,15,150,$337.20,$16.80,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
45,42,16,10,$1366.78,$68.10,PRINCIPAL RESIDENCE      ,$457.52,WESTERN,9
4012,38,9,130,$674.40,$33.60,PRINCIPAL RESIDENCE      ,$112.26,EASTERN,12
3,067B,15,150,$337.20,$16.80,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
4400A,18,27,220,$4746.27,$236.47,PRINCIPAL RESIDENCE      ,$1809.84,NORTHWESTERN,5
4,1,15,150,$337.20,$16.80,PRINCIPAL RESIDENCE      ,,WESTERN,7
4,2,15,150,$337.20,$16.80,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
4,3,15,150,$337.20,$16.80,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
4,4,15,150,$337.20,$16.80,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
4,5,15,150,$337.20,$16.80,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
4,8,15,150,$337.20,$16.80,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
4,9,15,150,$337.20,$16.80,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
4,10,15,150,$337.20,$16.80,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
1456,62,8,50,$67.44,$3.36,NOT A PRINCIPAL RESIDENCE,$79.08,EASTERN,12
4,13,15,150,$337.20,$16.80,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
45,27,16,10,$1366.78,$68.10,PRINCIPAL RESIDENCE      ,$83.21,WESTERN,9
45,40,16,10,$1366.78,$68.10,PRINCIPAL RESIDENCE      ,$482.15,WESTERN,9
45,44,16,10,$1366.78,$68.10,PRINCIPAL RESIDENCE      ,$482.15,WESTERN,9
45,47,16,10,$1366.78,$68.10,PRINCIPAL RESIDENCE      ,$482.15,WESTERN,9
4,14,15,150,$337.20,$16.80,PRINCIPAL RESIDENCE      ,,WESTERN,7
4324,157,27,220,$3401.97,$169.49,PRINCIPAL RESIDENCE      ,$1203.29,NORTHWESTERN,5
4,16,15,150,$337.20,$16.80,PRINCIPAL RESIDENCE      ,,WESTERN,7
4,17,15,150,$1011.60,$50.40,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
4,18,15,150,$1011.60,$50.40,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
4,19,15,150,$337.20,$16.80,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
4,20,15,150,$337.20,$16.80,PRINCIPAL RESIDENCE      ,,WESTERN,7
4,22,15,150,$1011.60,$50.40,PRINCIPAL RESIDENCE      ,,WESTERN,7
4,23,15,150,$1011.60,$50.40,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
4360B,168,27,220,$4690.07,$233.67,PRINCIPAL RESIDENCE      ,$1985.87,NORTHWESTERN,5
4,25,15,150,$337.20,$16.80,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
4543A,16,27,210,$599.47,$29.87,PRINCIPAL RESIDENCE      ,$270.07,NORTHWESTERN,5
4,27,15,150,$67.44,$3.36,PRINCIPAL RESIDENCE      ,,WESTERN,7
4706B,11,27,170,$6330.37,$315.39,PRINCIPAL RESIDENCE      ,$5461.42,NORTHERN,5
1456,103,8,50,$337.20,$16.80,NOT A PRINCIPAL RESIDENCE,$395.46,EASTERN,12
4924,007A,27,140,$4087.61,$203.65,PRINCIPAL RESIDENCE      ,$2032.98,NORTHERN,6
4,32,15,150,$1011.60,$50.40,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
4,33,15,150,$1011.60,$50.40,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
4,35,15,150,$337.20,$16.80,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
4,38,15,150,$67.44,$3.36,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
4,39,15,150,$337.20,$16.80,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
54,13,16,10,$884.21,$44.05,PRINCIPAL RESIDENCE      ,$432.88,WESTERN,9
0055C,37,16,160,$1912.31,$95.28,PRINCIPAL RESIDENCE      ,$928.07,WESTERN,9
0055C,38,16,160,$1912.31,$95.28,PRINCIPAL RESIDENCE      ,$632.52,WESTERN,9
0055C,71,16,160,$1912.31,$95.28,PRINCIPAL RESIDENCE      ,$632.52,WESTERN,9
7027C,5,25,60,$6764.97,$337.04,NOT A PRINCIPAL RESIDENCE,$3553.96,SOUTHERN,10
4,41,15,150,$1011.60,$50.40,PRINCIPAL RESIDENCE      ,,WESTERN,7
4,42,15,150,$1011.60,$50.40,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
7066,10,25,60,$1126.25,$56.11,NOT A PRINCIPAL RESIDENCE,$1251.63,SOUTHERN,10
4,44,15,150,$1011.60,$50.40,PRINCIPAL RESIDENCE      ,,WESTERN,7
4,45,15,150,$337.20,$16.80,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
4,46,15,150,$337.20,$16.80,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
4,47,15,150,$337.20,$16.80,PRINCIPAL RESIDENCE      ,,WESTERN,7
4,48,15,150,$337.20,$16.80,PRINCIPAL RESIDENCE      ,,WESTERN,7
4,50,15,150,$67.44,$3.36,PRINCIPAL RESIDENCE      ,,WESTERN,7
918,40,23,10,$5070.75,$252.64,PRINCIPAL RESIDENCE      ,$1965.19,SOUTHERN,11
4,53,15,150,,,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
0055D,38,16,160,$301.23,$15.01,PRINCIPAL RESIDENCE      ,$293.62,WESTERN,9
4,55,15,150,,,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
4,57,15,150,,,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
59,21,16,30,$705.13,$35.13,PRINCIPAL RESIDENCE      ,$194.25,WESTERN,9
5,1,15,130,$472.08,$23.52,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
5,2,15,130,$67.44,$3.36,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
7225,3,25,80,$948.66,$47.26,NOT A PRINCIPAL RESIDENCE,$1034.80,SOUTHERN,10
8248A,1,28,20,$4457.04,$222.06,PRINCIPAL RESIDENCE      ,$1669.76,NORTHWESTERN,5
1456,114,8,50,$22.48,$1.12,NOT A PRINCIPAL RESIDENCE,$26.36,EASTERN,12
1456,118,8,50,$22.48,$1.12,NOT A PRINCIPAL RESIDENCE,$26.36,EASTERN,12
2252A,021A,20,180,$1666.51,$83.03,PRINCIPAL RESIDENCE      ,$547.62,SOUTHWESTERN,8
586,43,4,40,$1109.01,$55.25,PRINCIPAL RESIDENCE      ,$10.40,CENTRAL,11
686,30,22,50,$6772.48,$337.42,NOT A PRINCIPAL RESIDENCE,$3557.90,SOUTHERN,11
71,92,16,50,$464.59,$23.15,PRINCIPAL RESIDENCE      ,$267.26,WESTERN,9
5,14,15,130,$67.44,$3.36,PRINCIPAL RESIDENCE      ,,WESTERN,7
1536,3,8,130,$337.20,$16.80,PRINCIPAL RESIDENCE      ,$369.59,EASTERN,13
1536,4,8,130,$337.20,$16.80,NOT A PRINCIPAL RESIDENCE,$406.50,EASTERN,13
2533,44,20,40,$1829.87,$91.17,NOT A PRINCIPAL RESIDENCE,$1030.80,SOUTHWESTERN,8
5,19,15,130,$67.44,$3.36,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
503,7,11,20,$4057.64,$202.16,NOT A PRINCIPAL RESIDENCE,$2173.25,CENTRAL,11
3061A,18,15,270,$2965.11,$147.73,PRINCIPAL RESIDENCE      ,$1476.79,NORTHWESTERN,7
65,27,16,160,$301.23,$15.01,PRINCIPAL RESIDENCE      ,$309.21,WESTERN,9
1458,1,8,190,$562.00,$28.00,NOT A PRINCIPAL RESIDENCE,$179.12,EASTERN,12
1528,2,8,230,$1832.12,$91.28,PRINCIPAL RESIDENCE      ,$64.18,EASTERN,13
5,32,15,130,$67.44,$3.36,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
7228,39,25,80,$1141.98,$56.90,NOT A PRINCIPAL RESIDENCE,$23.41,SOUTHERN,10
